Clayton Kershaw (SP, LAD)	STL	0.52	0.30	0.00	6.73	27.79	6.20	2.95	2.38	0.55	6.79	2.01	3.18	1.22	13.22	$12300	1.07
Gio Gonzalez (SP, WSH)	SF	0.48	0.27	0.00	6.04	25.21	5.47	2.56	2.17	0.44	6.14	2.11	3.22	1.25	11.93	$9300	1.28
Ryan Vogelsong (SP, SF)	WSH	0.25	0.49	0.00	5.61	24.46	6.06	3.23	2.74	0.84	4.59	2.06	4.40	1.45	8.46	$8100	1.04
Shelby Miller (SP, STL)	LAD	0.27	0.45	0.00	5.72	24.65	5.67	3.32	2.87	0.68	4.24	2.53	4.52	1.43	8.17	$8600	0.95
Kenley Jansen (RP, LAD)	STL	0.03	0.03	0.31	0.58	2.38	0.45	0.18	0.17	0.05	0.28	0.17	2.62	1.07	0.81	$5000	0.16
Rafael Soriano (RP, WSH)	SF	0.03	0.03	0.28	0.52	2.15	0.44	0.20	0.18	0.04	0.20	0.16	3.18	1.15	0.66	$0	0
Santiago Casilla (RP, SF)	WSH	0.02	0.02	0.22	0.41	1.66	0.28	0.09	0.08	0.02	0.14	0.13	1.77	0.99	0.55	$5000	0.11
Trevor Rosenthal (RP, STL)	LAD	0.02	0.02	0.19	0.35	1.46	0.29	0.13	0.12	0.01	0.24	0.18	3.11	1.36	0.55	$5000	0.11
