*Steve Pearce (1B/LF, BAL)	DET	4.40	3.79	0.55	0.81	0.28	0.01	0.22	0.71	0.62	0.08	0.04	0.83	0.344	3.74	$0	0
*Miguel Cabrera (1B/3B, DET)	BAL	4.52	4.06	0.39	0.67	0.19	0.05	0.25	0.57	0.74	0.02	0.02	0.68	0.286	3.24	$0	0
*Victor Martinez (DH/1B, DET)	BAL	4.41	4.06	0.31	0.72	0.26	0.03	0.22	0.52	0.70	0.03	0.01	0.59	0.301	3.1	$0	0
*Adrian Gonzalez (1B, LAD)	STL	4.59	4.03	0.44	0.59	0.33	0.01	0.21	0.54	0.63	0.00	0.04	0.71	0.277	3.04	$4200	0.72
*Albert Pujols (1B, LAA)	KC	4.58	4.26	0.25	0.82	0.26	0.00	0.16	0.53	0.59	0.02	0.01	0.63	0.287	2.64	$0	0
*Buster Posey (C/1B, SF)	WSH	4.34	3.94	0.27	0.60	0.23	0.02	0.18	0.41	0.53	0.01	0.04	0.60	0.256	2.38	$4000	0.6
*C.J. Cron (1B, LAA)	KC	4.03	3.78	0.21	0.64	0.22	0.00	0.15	0.44	0.45	0.00	0.04	0.67	0.266	2.13	$0	0
*Matt Adams (1B, STL)	LAD	4.03	3.74	0.22	0.72	0.26	0.02	0.08	0.35	0.41	0.00	0.06	0.82	0.283	1.99	$2700	0.74
*Brandon Belt (1B, SF)	WSH	4.01	3.69	0.27	0.44	0.24	0.00	0.14	0.31	0.42	0.00	0.03	1.35	0.220	1.79	$3200	0.56
*Billy Butler (DH/1B, KC)	LAA	4.15	3.74	0.38	0.60	0.17	0.02	0.08	0.39	0.36	0.00	0.02	0.72	0.229	1.75	$0	0
*Eric Hosmer (1B, KC)	LAA	4.26	3.90	0.27	0.64	0.22	0.02	0.05	0.28	0.31	0.02	0.02	0.64	0.235	1.52	$0	0
*Travis Ishikawa (1B, SF)	WSH	3.79	3.54	0.18	0.55	0.17	0.04	0.08	0.27	0.31	0.00	0.05	1.12	0.235	1.46	$2200	0.66
