*Miguel Cabrera (1B/3B, DET)	BAL	4.52	4.06	0.39	0.67	0.19	0.05	0.25	0.57	0.74	0.02	0.02	0.68	0.286	3.24	$0	0
*Nick Castellanos (3B/LF, DET)	BAL	4.08	3.73	0.29	0.80	0.23	0.01	0.14	0.43	0.60	0.00	0.05	0.74	0.312	2.58	$0	0
*Matt Carpenter (3B, STL)	LAD	4.59	4.04	0.47	0.93	0.18	0.02	0.03	0.54	0.38	0.06	0.03	0.82	0.286	2.29	$3500	0.65
*Andrew Romine (SS/3B, DET)	BAL	3.97	3.56	0.27	0.78	0.09	0.03	0.05	0.61	0.24	0.15	0.05	0.77	0.264	2.07	$0	0
*Ryan Flaherty (2B/3B, BAL)	DET	4.18	3.72	0.30	0.62	0.28	0.00	0.08	0.41	0.37	0.02	0.09	0.71	0.259	2.02	$0	0
*Juan Uribe (3B, LAD)	STL	4.14	3.90	0.13	0.74	0.21	0.02	0.10	0.48	0.44	0.00	0.02	0.80	0.272	1.98	$2900	0.68
*David Freese (3B, LAA)	KC	4.25	3.82	0.36	0.57	0.26	0.00	0.08	0.47	0.35	0.00	0.02	0.93	0.234	1.88	$0	0
*Pablo Sandoval (3B, SF)	WSH	4.23	3.87	0.21	0.79	0.17	0.00	0.07	0.37	0.48	0.02	0.06	0.39	0.262	1.86	$3000	0.62
*Jonathan Schoop (2B/3B, BAL)	DET	3.96	3.64	0.19	0.50	0.12	0.03	0.14	0.39	0.46	0.01	0.02	0.80	0.212	1.75	$0	0
*Mike Moustakas (3B, KC)	LAA	3.71	3.26	0.30	0.38	0.14	0.02	0.12	0.40	0.38	0.01	0.06	0.62	0.199	1.71	$0	0
