*Alex Avila (C, DET)	BAL	4.19	3.51	0.58	0.53	0.14	0.02	0.16	0.44	0.53	0.00	0.05	1.01	0.244	2.45	$0	0
*Buster Posey (C/1B, SF)	WSH	4.34	3.94	0.27	0.60	0.23	0.02	0.18	0.41	0.53	0.01	0.04	0.60	0.256	2.38	$4000	0.6
*Salvador Perez (C, KC)	LAA	3.93	3.72	0.15	0.68	0.25	0.02	0.13	0.41	0.60	0.01	0.00	0.49	0.286	2.28	$0	0
*Chris Iannetta (C, LAA)	KC	3.92	3.37	0.50	0.50	0.22	0.01	0.11	0.50	0.44	0.01	0.01	0.93	0.251	2.25	$0	0
*Caleb Joseph (C, BAL)	DET	4.07	3.69	0.32	0.71	0.15	0.00	0.11	0.49	0.43	0.00	0.02	0.94	0.258	2.03	$0	0
*Yadier Molina (C, STL)	LAD	4.14	3.89	0.18	0.83	0.17	0.01	0.11	0.35	0.35	0.00	0.06	0.52	0.284	1.89	$2600	0.73
*Wilson Ramos (C, WSH)	SF	4.36	4.11	0.18	0.72	0.20	0.02	0.09	0.32	0.34	0.00	0.05	0.77	0.246	1.66	$2500	0.66
*A.J. Ellis (C, LAD)	STL	4.03	3.47	0.49	0.52	0.17	0.00	0.02	0.27	0.27	0.00	0.04	0.84	0.201	1.32	$2500	0.53
