*Jhonny Peralta (SS, STL)	LAD	4.25	3.65	0.53	0.61	0.29	0.02	0.12	0.54	0.48	0.05	0.05	0.83	0.280	2.77	$2600	1.07
*Hanley Ramirez (SS, LAD)	STL	4.36	3.89	0.41	0.60	0.21	0.06	0.14	0.60	0.41	0.07	0.02	0.81	0.263	2.62	$3700	0.71
*Dee Gordon (2B/SS, LAD)	STL	4.81	4.48	0.24	0.92	0.23	0.04	0.06	0.53	0.33	0.27	0.03	0.55	0.272	2.6	$3700	0.7
*Alcides Escobar (SS, KC)	LAA	4.60	4.37	0.17	0.86	0.21	0.02	0.05	0.52	0.29	0.23	0.01	0.56	0.260	2.18	$0	0
*Erick Aybar (SS, LAA)	KC	4.36	4.06	0.18	0.72	0.21	0.06	0.07	0.43	0.50	0.07	0.02	0.50	0.259	2.12	$0	0
*Andrew Romine (SS/3B, DET)	BAL	3.97	3.56	0.27	0.78	0.09	0.03	0.05	0.61	0.24	0.15	0.05	0.77	0.264	2.07	$0	0
*Brandon Crawford (SS, SF)	WSH	3.90	3.50	0.33	0.52	0.15	0.02	0.14	0.36	0.38	0.02	0.05	0.82	0.234	1.93	$2800	0.69
*J.J. Hardy (SS, BAL)	DET	4.29	3.96	0.15	0.74	0.20	0.03	0.07	0.40	0.36	0.00	0.11	0.56	0.259	1.8	$0	0
*Pete Kozma (SS/2B, STL)	LAD	3.92	3.55	0.29	0.49	0.23	0.03	0.04	0.33	0.33	0.03	0.03	0.98	0.217	1.55	$2200	0.7
